year,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2001,2hKdd3qO7cWr2Jo0Bcs0M,Drops of Jupiter (Tell Me),Train,0.468,0.64,0,-5.862,1,0.0275,0.154,0,0.154,0.499,79.297,259933,4
2001,3unsLiH5FXmaDWtT5Imol,Fallin',Alicia Keys,0.653,0.609,11,-7.519,0,0.037,0.263,0.00101,0.233,0.482,95.982,210200,3
2001,7vFv0yFGMJW3qVXbAd9BK,Your Body Is a Wonderland,John Mayer,0.647,0.729,5,-6.251,1,0.0236,0.0206,0.0489,0.134,0.687,94.01,249627,4
2001,6jWLyg8AuMQ9LtIB2UlfO,Hanging By A Moment,Lifehouse,0.537,0.858,1,-4.903,1,0.0349,0.000966,0,0.0812,0.502,124.599,216360,4
2001,2MLHyLy5z5l5YRp7momlg,Island In The Sun,Weezer,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623,200307,4
2001,69XUpOpjzDKcfdxqZebGi,"Independent Women, Pt. 1",Destiny's Child,0.73,0.602,6,-3.782,0,0.206,0.362,3.69E-06,0.169,0.927,97.954,221133,4
2001,4yA2SM7XCLkSgkBUSoZb5,Sing,Travis,0.33,0.905,4,-5.047,1,0.0497,0.000233,8.14E-06,0.0712,0.259,163.142,228800,4
2001,4KoecuyOpZaNFZ0UqVsll,Follow Me,Uncle Kracker,0.817,0.585,5,-4.688,1,0.0301,0.439,0,0.147,0.916,105.014,218440,4
2001,3TwtrR1yNLY1PMPsrGQpO,Superman (It's Not Easy),Five For Fighting,0.382,0.416,0,-9.303,1,0.0302,0.0733,0,0.0719,0.125,102.089,221693,4
2001,6FLwmdmW77N1Pxb1aWsZm,Only Time,Enya,0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,218547,4
2001,3RmKpob8xzv1pzHEQrMJa,Let Me Blow Ya Mind,Eve,0.908,0.557,8,-4.243,0,0.107,0.242,0,0.0709,0.897,90.032,230133,4
2001,4tgeQrPu5xkrnwErym2Js,Here's to the Night,Eve 6,0.583,0.652,7,-6.255,1,0.0244,0.0405,0.000378,0.0781,0.352,97.469,249840,4
2001,2f5N826udWfjT9iomeaBJ,If You're Gone,Matchbox Twenty,0.544,0.659,9,-7.191,1,0.0298,0.427,1.33E-06,0.126,0.361,109.933,274933,4
2001,2gdt70w8DOCWGq1HdkgSU,Crazy for This Girl,Evan And Jaron,0.457,0.926,0,-5.461,1,0.038,0.000487,5.69E-05,0.0949,0.41,93.964,202027,4
2001,7nnWIPM5hwE3DaUBkvOIp,Drive,Incubus,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,232453,4
2001,63nkNgHkmfgjElTEnCzKY,Rise,Gabrielle,0.558,0.481,8,-9.487,1,0.026,0.315,8.83E-06,0.09,0.631,144.673,219093,4
2001,3yUcJwYu7fXAfqMj9krY6,Thank You,Dido,0.725,0.583,1,-9.942,0,0.0424,0.3,0.000215,0.0665,0.765,79.984,218360,4
2001,7kzKAuUzOITUauHAhoMox,Last Nite,The Strokes,0.624,0.91,0,-5.703,1,0.0297,0.0285,0.000198,0.0789,0.767,104.042,193051,4
2001,43zr9kKkeiQrshvYuvNtf,Someone To Call My Lover,Janet Jackson,0.738,0.914,2,-4.203,1,0.0434,0.144,0.00099,0.182,0.935,127.885,272360,4
2001,3OJg2CHYbNTWyofb5SC7R,Love,Musiq Soulchild,0.569,0.385,1,-9.919,0,0.0499,0.342,0,0.0876,0.339,99.738,304667,4
2001,3aePQpQPQ1k35NDvJ71YR,Underneath It All,No Doubt,0.729,0.731,4,-4.822,1,0.0684,0.232,1.57E-06,0.391,0.839,138.202,302720,4
2001,2Dp2LRrY71XIfLe3co2Qn,This I Promise You,*NSYNC,0.55,0.581,2,-6.253,1,0.0325,0.367,0,0.122,0.475,165.981,283507,4
2001,0HKD13PLq2WicViBBhSrO,Out Of Reach,Gabrielle,0.51,0.48,11,-6.567,1,0.0452,0.503,0,0.106,0.496,182.862,196987,4
2001,6GG73Jik4jUlQCkKg9JuG,The Middle,Jimmy Eat World,0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,165853,4
2001,5t2gSYVvBV9kH4t7Czert,There You'll Be,Faith Hill,0.321,0.511,8,-7.77,1,0.0306,0.513,0,0.127,0.17,128.98,222120,4
